"scenario_class","scenario","metric","units","reference_processing","candidate_processing","resolution","smoothing","focal_scale_cells","focal_scale_metres","comparison_grid","interpolation","n_compared","median_absolute_cellwise_difference","median_signed_cellwise_difference","spearman_rho","interpretation"
"preprocessing","no smoothing versus 3 by 3 mean smoothing before derivation","laplacian_index","m (stored elevation)","derive from unsmoothed 4 m elevation","3 by 3 mean smooth at 4 m, then derive","native 4 by 4 m","none versus 3 by 3 mean (12 m side length)","BPI/VRM 3 by 3 cells","12 m for BPI/VRM","native comparison grid","none",748251,0.903354220920221,0.00115288628455801,0.250821064015811,"This preprocessing sensitivity isolates the documented mean filter; it is not presented as an artefact correction."
"preprocessing","no smoothing versus 3 by 3 mean smoothing before derivation","surface_area_ratio","unitless ratio","derive from unsmoothed 4 m elevation","3 by 3 mean smooth at 4 m, then derive","native 4 by 4 m","none versus 3 by 3 mean (12 m side length)","BPI/VRM 3 by 3 cells","12 m for BPI/VRM","native comparison grid","none",748251,0.0073696824842111,-0.000713625785574878,0.926821743821699,"This preprocessing sensitivity isolates the documented mean filter; it is not presented as an artefact correction."
"focal neighborhood","bpi 3-cell versus 7-cell square windows at native resolution","bpi","m (stored elevation)","derive with 3 by 3 cells","derive with 7 by 7 cells","native 4 by 4 m","none","3 by 3 versus 7 by 7 cells","12 m versus 28 m square side length","native comparison grid","none",751751,0.232380862679342,0.00245386240430889,0.875312499246568,"Changing focal support changes the local reference for BPI and the normal-vector aggregation area for VRM; neither window is universally preferred."
"focal neighborhood","bpi 3-cell versus 11-cell square windows at native resolution","bpi","m (stored elevation)","derive with 3 by 3 cells","derive with 11 by 11 cells","native 4 by 4 m","none","3 by 3 versus 11 by 11 cells","12 m versus 44 m square side length","native comparison grid","none",751751,0.363372270288096,-0.0146004280111338,0.756438353867615,"Changing focal support changes the local reference for BPI and the normal-vector aggregation area for VRM; neither window is universally preferred."
"focal neighborhood","vrm 3-cell versus 7-cell square windows at native resolution","vrm","unitless","derive with 3 by 3 cells","derive with 7 by 7 cells","native 4 by 4 m","none","3 by 3 versus 7 by 7 cells","12 m versus 28 m square side length","native comparison grid","none",748251,0.00287190897430911,0.00228081948382142,0.857517094863315,"Changing focal support changes the local reference for BPI and the normal-vector aggregation area for VRM; neither window is universally preferred."
"focal neighborhood","vrm 3-cell versus 11-cell square windows at native resolution","vrm","unitless","derive with 3 by 3 cells","derive with 11 by 11 cells","native 4 by 4 m","none","3 by 3 versus 11 by 11 cells","12 m versus 44 m square side length","native comparison grid","none",748251,0.00376799182016596,0.00331049182077092,0.790907038073114,"Changing focal support changes the local reference for BPI and the normal-vector aggregation area for VRM; neither window is universally preferred."
"vertical sign","negative elevation versus positive-depth representation","slope_deg","degrees","negative elevation values","values multiplied by -1 before derivation","native 4 by 4 m","none","BPI/VRM 3 by 3 cells","12 m for BPI/VRM","native comparison grid","none",748251,0,0,1,"Gradient magnitude and the surface-area approximation are sign-invariant, whereas aspect-dependent or elevation-difference quantities can reverse interpretation or sign."
"vertical sign","negative elevation versus positive-depth representation","bpi","m (stored elevation)","negative elevation values","values multiplied by -1 before derivation","native 4 by 4 m","none","BPI/VRM 3 by 3 cells","12 m for BPI/VRM","native comparison grid","none",751751,0.597805447048586,0.00888994004991162,-1,"Gradient magnitude and the surface-area approximation are sign-invariant, whereas aspect-dependent or elevation-difference quantities can reverse interpretation or sign."
"vertical sign","negative elevation versus positive-depth representation","vrm","unitless","negative elevation values","values multiplied by -1 before derivation","native 4 by 4 m","none","BPI/VRM 3 by 3 cells","12 m for BPI/VRM","native comparison grid","none",748251,0,0,1,"Gradient magnitude and the surface-area approximation are sign-invariant, whereas aspect-dependent or elevation-difference quantities can reverse interpretation or sign."
"vertical sign","negative elevation versus positive-depth representation","laplacian_index","m (stored elevation)","negative elevation values","values multiplied by -1 before derivation","native 4 by 4 m","none","BPI/VRM 3 by 3 cells","12 m for BPI/VRM","native comparison grid","none",748251,1.93999481201172,7.62939453125e-06,-1,"Gradient magnitude and the surface-area approximation are sign-invariant, whereas aspect-dependent or elevation-difference quantities can reverse interpretation or sign."
"vertical sign","negative elevation versus positive-depth representation","surface_area_ratio","unitless ratio","negative elevation values","values multiplied by -1 before derivation","native 4 by 4 m","none","BPI/VRM 3 by 3 cells","12 m for BPI/VRM","native comparison grid","none",748251,0,0,1,"Gradient magnitude and the surface-area approximation are sign-invariant, whereas aspect-dependent or elevation-difference quantities can reverse interpretation or sign."
"coordinate-unit control","annular BPI on longitude-latitude raster","annular BPI","map-unit radius","EPSG:6348 projected elevation","bilinear projection to EPSG:4326 for diagnostic only","4 m projected source; 0.00003715 by 0.00003715 degrees diagnostic grid","none","annulus","20 m request","not applicable","not applicable",,,,,"The documented CRS guard returned: A projected CRS with linear map units is required for BPI annulus radii.
Reproject explicitly before continuing."
